gene_id,PBN1-ML01-D,PBN1-ML01-G,PBN1-ML02-D,PBN1-ML02-G,PBN1-ML03-D,PBN1-ML03-G,PBN1-ML04-D,PBN1-ML04-G,PBN2-FM01-D,PBN2-FM01-G,PBN2-FM02-D,PBN2-FM02-G,PBN2-FM03-D,PBN2-FM03-G,PBN2-FM04-D,PBN2-FM04-G,SRR1647854,SRR1647855,SRR1647856,SRR1647857,SRR1647858,SRR1647859,SRR6294443,SRR6294444
Sox17|Sox17,207,0,117,0,66,0,36,0,86,0,195,0,469,0,88,0,0,0,2,2,0,2,0,0
Rp1|Rp1,0,0,0,0,0,0,9,0,0,0,0,0,11,0,45,0,4,2,3,4,18,8,0,0
Mrpl15|Mrpl15,3073,436,1587,1075,1295,1944,1145,3195,2127,2332,2126,5317,2410,3224,1661,0,142,171,246,494,410,278,1984,1453
Xkr4|Xkr4,2468,4067,1784,3366,2077,2381,1795,3204,1924,7356,1615,2158,1257,3359,1326,1228,754,1113,2164,3822,2674,1665,1009,1503
Gm39585|Gm39585,5831,11304,5583,3701,5275,2689,5556,6596,4098,1719,2576,9128,2489,795,3146,1536,1012,1094,2801,2597,3036,2367,975,1228
Lypla1|Lypla1,1348,1889,648,408,698,1502,655,1194,1210,4,1144,0,982,0,714,0,25,36,55,86,75,60,2278,1866
Gm39587|Gm39587,29,41,4,0,18,0,59,0,14,55,5,0,9,0,16,0,0,0,0,0,2,0,1,0
Tcea1|Tcea1,3339,1825,1628,1182,1689,2503,1344,2819,2207,2913,2154,2167,1934,2352,1840,760,22,27,22,57,73,53,1832,1486
Rgs20|Rgs20,278,603,479,0,263,1231,164,411,643,1645,403,0,581,0,509,482,49,46,17,53,83,58,763,743
Gm16041|Gm16041,84,0,0,0,54,0,61,0,80,0,41,0,0,0,21,0,63,52,10,17,52,52,0,76
Npbwr1|Npbwr1,79,514,127,670,12,0,257,0,164,0,117,0,153,0,173,0,10,10,0,1,2,1,667,801
LOC108167788|LOC108167788,19,0,3,0,5,0,2,0,21,0,0,0,27,0,0,0,4,2,0,0,0,0,4,17
Oprk1|Oprk1,881,3621,1089,1121,163,1085,864,1680,909,7914,1248,5074,1320,2960,1077,0,60,62,3,8,56,34,7034,8826
Atp6v1h|Atp6v1h,8951,8684,6275,8883,3847,8116,3396,8352,6655,10452,6778,23792,7134,20871,5329,4023,239,249,268,483,573,465,14238,12666
Rb1cc1|Rb1cc1,9793,2702,6841,5116,10004,5274,6057,17888,12458,9129,9661,16272,10649,10003,8968,383,565,707,556,999,1261,853,2473,2457
4732440D04Rik|4732440D04Rik,3665,4985,2000,3495,1996,936,1546,3198,3154,2174,3661,4376,3764,15,3112,3693,160,206,214,335,346,242,1212,1509
Gm26901|Gm26901,30,0,88,422,55,208,24,0,70,0,78,339,164,0,50,0,76,71,96,91,699,453,72,64
St18|St18,5768,942,5078,61,8084,325,3970,1559,10082,0,8837,43,7517,345,4802,0,7,14,0,11,86,94,58,293
Pcmtd1|Pcmtd1,5652,5304,4201,3842,3644,3335,3719,8321,5804,5794,5639,5135,5364,8317,4580,9719,347,340,296,556,551,446,2571,2567
Rrs1|Rrs1,641,1200,441,0,437,0,489,538,458,0,665,3197,695,0,552,0,7,5,12,25,12,18,134,77
Adhfe1|Adhfe1,319,0,516,6,249,140,100,0,599,0,422,437,611,0,570,0,17,14,35,65,17,31,175,146
2610203C22Rik|2610203C22Rik,105,0,13,0,19,0,103,0,52,0,30,0,87,0,66,0,26,36,19,20,9,6,14,0
3110035E14Rik|3110035E14Rik,178,25,227,40,229,0,544,31,436,0,315,66,470,0,758,0,868,878,107,264,319,218,344,136
Sntg1|Sntg1,773,872,757,1700,150,1613,487,2777,685,3628,851,1028,733,2443,1270,0,521,530,824,1294,2429,1586,1793,1871
Mybl1|Mybl1,123,160,241,626,402,24,223,750,529,2466,182,0,269,0,89,0,17,17,54,76,104,52,108,230
Vcpip1|Vcpip1,5285,2764,3843,3141,3109,2026,3467,5420,5370,2333,5774,12753,5427,2872,4467,2674,456,478,518,985,759,600,4358,3423
1700034P13Rik|1700034P13Rik,13,19,9,13,22,0,22,24,54,21,55,40,36,0,53,0,1,0,2,4,3,0,7,2
Cpa6|Cpa6,137,0,183,0,0,0,44,892,57,0,0,0,47,0,38,0,8,7,0,0,4,0,0,0
Mcmdc2|Mcmdc2,681,419,431,70,548,834,259,2665,567,190,448,2599,483,2406,545,0,104,88,81,111,40,107,215,260
Tcf24|Tcf24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,8,0,4,0,39
Ppp1r42|Ppp1r42,5,0,91,0,37,0,20,0,44,0,64,0,13,0,27,0,11,12,6,9,18,10,0,8
Cspp1|Cspp1,5398,1779,3459,2879,4344,807,3802,7625,4725,3559,3951,2962,4327,7544,4149,635,562,685,574,690,894,727,1421,1534
Sgk3|Sgk3,505,1114,780,422,660,272,752,268,951,1121,1030,0,653,0,913,0,137,139,50,72,66,54,112,93
Snhg6|Snhg6,484,490,501,1008,438,279,380,1565,246,193,221,615,195,300,288,0,10,12,12,30,38,27,195,150
Snord87|Snord87,20,54,41,33,22,0,29,32,16,0,14,84,18,10,23,0,2,1,2,1,2,2,3,2
Cops5|Cops5,1488,1820,1520,2532,1337,2577,999,3444,1640,544,1355,3887,1850,2154,1722,97,152,185,159,342,475,303,3489,3381
Arfgef1|Arfgef1,2407,2982,2312,1994,2847,4513,1856,1861,3068,1756,2246,6085,2464,1490,2153,1262,591,680,663,1328,1341,940,2068,2245
Prex2|Prex2,860,569,761,336,895,79,1018,486,1335,45,1036,2243,1962,0,947,6053,54,87,25,84,127,90,8,106
Gm30898|Gm30898,60,0,0,286,0,0,65,485,55,0,44,0,0,0,119,0,49,71,72,77,66,107,34,12
Sulf1|Sulf1,724,39,1060,176,788,2464,773,2177,1355,0,1872,0,1872,6217,1700,0,88,124,0,9,22,15,1245,1691
Slco5a1|Slco5a1,276,2327,241,0,88,0,109,179,261,0,280,0,107,0,444,0,58,51,93,119,167,142,249,113
A830018L16Rik|A830018L16Rik,990,2345,1103,1495,470,2011,1120,2909,643,2648,717,4942,875,119,1404,1835,398,494,418,725,726,678,580,464
Ncoa2|Ncoa2,1468,496,530,177,1886,1102,1595,2196,2424,0,2864,127,3086,1297,2376,5117,952,998,1003,1945,1848,1221,2717,1951
Lactb2|Lactb2,862,48,429,1104,737,0,526,148,794,0,762,0,911,0,853,0,88,127,198,318,240,127,2222,2024
Eya1|Eya1,48,0,270,120,89,146,110,0,204,0,154,0,541,0,183,0,19,25,124,201,49,33,183,256
Tram1|Tram1,9843,5756,7120,4046,3926,3701,5409,8458,10056,20678,11538,43145,10986,16908,8708,3672,85,81,157,272,349,270,3293,1933
Terf1|Terf1,3029,927,1978,709,2165,1031,1668,4139,2766,2817,2153,4034,2608,3816,1876,0,100,82,94,113,187,141,1151,1219
Sbspon|Sbspon,21,0,187,293,40,32,139,796,238,0,85,0,170,0,47,0,43,62,26,26,92,62,76,34
Kcnb2|Kcnb2,2298,1608,1732,3578,1184,3461,1196,1700,2009,1613,2641,6597,2162,2583,1754,7912,586,597,123,330,2086,1406,1309,1498
Rdh10|Rdh10,888,1319,660,320,675,328,512,132,1151,0,1529,0,1839,1721,1194,0,43,28,39,70,62,60,162,229
Rpl7|Rpl7,3150,4100,2109,1350,1453,2310,972,4619,1946,2543,1723,4397,2607,3875,1399,0,18,18,25,41,60,44,2222,1883
Stau2|Stau2,1850,2426,2490,1208,2105,2081,2108,4149,2356,1454,1581,7959,1396,4587,1552,4519,440,542,593,1099,1336,999,3484,3219
LOC102634042|LOC102634042,4,0,11,0,17,53,18,0,22,0,23,0,16,0,19,0,5,9,19,21,24,26,3,26
D030040B21Rik|D030040B21Rik,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0
Ube2w|Ube2w,4009,1804,3465,825,2763,2400,2148,2447,3792,2107,2389,4823,2697,1732,2091,0,350,422,420,535,897,648,3185,3039
LOC108167614|LOC108167614,751,24,348,24,466,0,560,351,920,1976,592,0,617,0,801,0,310,372,446,495,579,406,142,101
Tceb1|Tceb1,3521,2908,1616,1722,2088,1759,1486,4233,3049,0,2107,6172,2829,3087,1977,4,112,104,88,185,327,230,3091,3708
Ly96|Ly96,317,467,104,39,85,0,103,0,115,0,102,357,114,0,95,0,0,4,23,27,19,11,141,143
Tmem70|Tmem70,2846,5061,2528,2712,1578,1355,1367,2938,2342,1805,2466,7162,2513,5281,1790,8652,42,33,48,123,148,99,1581,614
LOC108167615|LOC108167615,0,0,0,0,67,0,48,0,51,0,157,0,39,0,144,0,14,13,2,5,20,17,0,0
Gm31982|Gm31982,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,8,5,0,0,6,6,0,0
Gm28783|Gm28783,6,0,0,0,0,0,0,0,19,0,65,0,0,0,39,0,15,17,2,0,16,12,0,0
Jph1|Jph1,2276,79,1438,0,1711,0,962,0,3016,0,2790,0,3177,606,2112,0,281,304,55,110,250,133,328,394
Gm28154|Gm28154,3,0,2,0,0,0,0,82,0,0,20,0,11,0,0,0,6,6,22,25,41,45,11,63
Pi15|Pi15,20,0,77,347,103,0,23,0,17,0,35,0,56,2541,40,0,6,0,16,14,23,19,39,50
Gdap1|Gdap1,5574,12444,5433,6599,6610,6393,4610,9337,5783,4969,4853,5837,5217,2368,4535,18790,352,453,371,733,1122,829,6448,5566
Gm28784|Gm28784,16,0,0,0,79,0,3,60,74,0,0,0,77,0,26,0,12,19,19,40,62,58,8,4
Tfap2d|Tfap2d,646,75,386,0,143,107,350,0,83,292,0,0,8,0,131,0,7,11,0,0,0,0,8,0
Tfap2b|Tfap2b,742,4497,1150,1113,874,1743,603,6012,812,4404,726,5391,1219,874,715,1009,0,0,2,3,0,0,37,0
Mir206|Mir206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b|Mir133b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linc-md1|Linc-md1,3,0,0,0,0,0,1,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispld1|Crispld1,97,0,252,0,52,0,166,0,293,2413,243,588,73,0,314,2865,38,38,28,34,27,36,133,55
Gm16070|Gm16070,78,0,25,0,57,0,15,0,11,33,30,0,0,0,23,0,5,0,14,0,11,15,22,30
Gm28153|Gm28153,41,228,76,99,0,0,66,0,29,0,16,0,16,0,56,0,3,4,8,10,16,10,18,20
Mcm3|Mcm3,139,0,22,0,0,0,114,0,47,0,44,0,60,0,242,0,0,4,0,6,0,0,34,0
Tram2|Tram2,89,0,0,0,39,0,0,0,21,0,37,0,206,0,31,0,3,0,16,28,11,12,11,0
6720483E21Rik|6720483E21Rik,103,402,81,203,69,0,114,940,109,0,172,0,150,14,155,0,0,6,7,16,16,13,194,215
Paqr8|Paqr8,9436,6117,5456,1864,4375,3072,5269,1100,11784,1620,13345,3361,17138,8008,11311,10412,200,179,199,513,572,359,2314,2017
Gm28836|Gm28836,0,0,17,0,0,0,36,0,18,0,37,0,13,0,115,0,3,4,0,5,5,4,12,10
Gsta3|Gsta3,66,76,74,426,81,0,84,75,153,0,46,0,170,0,146,0,39,45,38,64,84,65,328,225
Tmem14a|Tmem14a,2357,1412,1186,415,530,1523,937,3256,1220,1949,1274,3869,1538,3567,1140,5491,92,74,32,86,103,74,1208,1170
Gm32947|Gm32947,71,46,22,0,5,0,48,7,33,0,46,0,44,0,26,0,5,7,8,11,10,9,17,8
Kcnq5|Kcnq5,821,0,206,125,237,817,362,1216,347,0,569,0,678,510,721,4788,760,1006,289,785,1400,1028,185,180
Mir30c-2|Mir30c-2,1,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,2,1,2,1,0,2,0,2
Ogfrl1|Ogfrl1,2570,2591,1975,1737,3438,2306,1346,5900,2350,2544,1553,1201,1815,2810,1102,450,314,445,217,617,648,491,771,1197
Rims1|Rims1,3619,3037,2278,700,3228,707,1890,1860,5073,1295,3278,3,4440,1638,2942,632,856,890,806,1185,1243,866,1072,768
Gm26524|Gm26524,0,0,5,0,0,0,0,0,0,0,2,0,0,0,10,0,0,6,0,3,0,0,0,0
