"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","Comparison"
"Snhg6|Snhg6",159.548423355344,1.70623361386061,0.54845702733297,3.11097046592266,0.00186473588629921,0.0068094919293553,"Snhg6","small nucleolar RNA host gene 6","73824","CGRP vs nonCGRP"
"Tram1|Tram1",3147.77202871845,2.10235385004226,0.705092840478298,2.98166954668854,0.00286681256601073,0.00982450753451748,"Tram1","translocating chain-associating membrane protein 1","72265","CGRP vs nonCGRP"
"Unc50|Unc50",2547.19637801157,1.69166340299274,0.595546342331219,2.84052353738057,0.00450395490952218,0.0144833749025886,"Unc50","unc-50 homolog","67387","CGRP vs nonCGRP"
"Rpl31|Rpl31",483.881490614456,2.33572176375064,0.623882089210824,3.74385128879914,0.00018122093631304,0.00090645665230822,"Rpl31","ribosomal protein L31","114641","CGRP vs nonCGRP"
"D930019O06Rik|D930019O06Rik",166.342756701544,2.41176347716775,1.02542856686432,2.3519565917134,0.0186749541378243,0.0475012444569869,"D930019O06Rik","RIKEN cDNA D930019O06","425051","CGRP vs nonCGRP"
"Tmem237|Tmem237",968.530411243457,1.68284197225951,0.633185879650401,2.65773768231953,0.00786670972887723,0.0231308435199169,"Tmem237","transmembrane protein 237","381259","CGRP vs nonCGRP"
"Wdr12|Wdr12",1378.06458146909,1.59547232554958,0.432458498987535,3.68930736541166,0.000224865417232116,0.00109473114159577,"Wdr12","WD repeat domain 12","57750","CGRP vs nonCGRP"
"Gpr1|Gpr1",108.722670953543,3.27465788808527,1.05063321368223,3.11684215332231,0.00182799419104936,0.00669549587878932,"Gpr1",NA,NA,"CGRP vs nonCGRP"
"Mettl21a|Mettl21a",874.544809126434,1.55853118557675,0.486970335719002,3.20046432248406,0.00137206354837981,0.0052320239287931,"Mettl21a","methyltransferase 21A, HSPA lysine","67099","CGRP vs nonCGRP"
"Mreg|Mreg",195.067257562308,1.85640496848479,0.672230166999026,2.76156152999227,0.00575256760637857,0.0177611494671389,"Mreg","melanoregulin","381269","CGRP vs nonCGRP"
"Resp18|Resp18",14742.2945177713,2.46041346322541,0.960660379823849,2.56116887393291,0.0104320633698234,0.0293382202577765,"Resp18","regulated endocrine-specific protein 18","19711","CGRP vs nonCGRP"
"Mogat1|Mogat1",60.5780738833498,4.24433353845491,1.56935776339076,2.70450348382296,0.00684065523901907,0.0205899225550782,"Mogat1","monoacylglycerol O-acyltransferase 1","68393","CGRP vs nonCGRP"
"Scg2|Scg2",35298.8954368183,2.50369025145149,0.761215129098533,3.28907053439213,0.00100518829736625,0.00399804912946656,"Scg2","secretogranin II","20254","CGRP vs nonCGRP"
"Col4a4|Col4a4",129.990299953727,2.8054694989215,0.90478444053256,3.10070484553226,0.00193060624875789,0.00701769240352131,"Col4a4","collagen, type IV, alpha 4","12829","CGRP vs nonCGRP"
"Dner|Dner",6560.46918997017,1.67301892721404,0.631352348503195,2.64989736900547,0.00805162254886315,0.0235970952168176,"Dner","delta/notch-like EGF repeat containing","227325","CGRP vs nonCGRP"
"9430060I03Rik|9430060I03Rik",512.891940668203,3.22321127395353,0.900908446495364,3.57773454837968,0.000346585169562106,0.00159461684870211,"9430060I03Rik","RIKEN cDNA 9430060I03 gene","100037260","CGRP vs nonCGRP"
"Sept2|Sept2",5032.61050498775,2.00700293814982,0.633227292337325,3.16948268407968,0.0015271055722453,0.00574246324237452,"Sept2",NA,NA,"CGRP vs nonCGRP"
"St8sia4|St8sia4",980.669212400735,2.31452708113873,0.69606522173741,3.32515834559522,0.00088368331616269,0.00357927602771321,"St8sia4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4","20452","CGRP vs nonCGRP"
"Slco4c1|Slco4c1",322.922159606849,1.68862731283848,0.673135991945681,2.50859756875806,0.012121148835303,0.0332178810127359,"Slco4c1","solute carrier organic anion transporter family, member 4C1","227394","CGRP vs nonCGRP"
"B230216N24Rik|B230216N24Rik",472.50217172923,2.36303973336148,0.50202773498133,4.70699040850673,2.51400731761708e-06,2.01384497530578e-05,"B230216N24Rik","RIKEN cDNA B230216N24 gene","78603","CGRP vs nonCGRP"
"Tmem185b|Tmem185b",1224.74555430931,2.00117448926441,0.664960889414996,3.00946194147592,0.00261710865242575,0.00906985526760771,"Tmem185b","transmembrane protein 185B","226351","CGRP vs nonCGRP"
"Lypd1|Lypd1",1378.64043359397,1.6055264122484,0.524874832623287,3.05887482587819,0.00222169958219104,0.0079206915542277,"Lypd1","Ly6/Plaur domain containing 1","72585","CGRP vs nonCGRP"
