"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Celltype","Comparison","Description_title_case","GOPathways"
"GO:0033555","BP","GO:0033555","multicellular organismal response to stress","14/418","117/16311",0.11965811965812,4.66924303766409,6.45958358068609,1.7671141074731e-06,0.00324617286061235,0.00309817864806824,"Lypd1/Adcyap1/Adra2a/Dbh/Bdnf/Penk/Tac1/Tacr1/Ret/Gabra5/Calca/Slc6a2/Htr2c/Thbs4",14,"CGRP vs nonCGRP","CGRP","nonCGRP","Multicellular Organismal Response To Stress","Multicellular
Organismal
Response
To Stress"
"GO:0046883","BP","GO:0046883","regulation of hormone secretion","23/418","293/16311",0.0784982935153584,3.06312360174404,5.77919159344267,2.08386894772939e-06,0.00324617286061235,0.00309817864806824,"Sox11/Crhbp/F2rl2/Hmgcr/Isl1/Efna5/Adcyap1/Gal/Adra2a/Lrrc8a/Scg5/Uts2/Epha5/Spp1/Tac1/Tacr1/Jagn1/Nucb2/Sfrp1/Nrg1/Agtr2/Acsl4/Htr2c",23,"CGRP vs nonCGRP","CGRP","nonCGRP","Regulation Of Hormone Secretion","Regulation
Of Hormone
Secretion"
"GO:0007218","BP","GO:0007218","neuropeptide signaling pathway","12/418","89/16311",0.134831460674157,5.26133003601957,6.53732619608539,2.73707661097163e-06,0.00324617286061235,0.00309817864806824,"Nts/Sstr2/Adcyap1/Gal/Scg5/Oprl1/Gpr149/Penk/Tac1/Calca/Gpr139/Glra2",12,"CGRP vs nonCGRP","CGRP","nonCGRP","Neuropeptide Signaling Pathway","Neuropeptide
Signaling
Pathway"
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","18/424","107/16381",0.168224299065421,6.49925057309117,9.30277455333502,2.66313662033529e-10,1.05726523827311e-07,9.25089562853312e-08,"Resp18/Hsp90b1/P4ha2/Pdia6/Dnajb9/Pcsk1/Dnajb11/Poglut1/Hspa5/Rcn1/Bdnf/Pdia3/Lrpap1/Erp29/Sumf2/Sumf1/Rcn2/Manf",18,"CGRP vs nonCGRP","CGRP","nonCGRP","Endoplasmic Reticulum Lumen","Endoplasmic
Reticulum
Lumen"
"GO:0098992","CC","GO:0098992","neuronal dense core vesicle","10/424","39/16381",0.256410256410256,9.90626511852927,9.07694228089172,3.94433950729802e-08,7.82951392198657e-06,6.85069493372814e-06,"Scg2/Sst/Adcyap1/Syt4/Slc18a2/Bdnf/Penk/Cacna2d1/Syt5/Calca",10,"CGRP vs nonCGRP","CGRP","nonCGRP","Neuronal Dense Core Vesicle","Neuronal
Dense Core
Vesicle"
"GO:0031045","CC","GO:0031045","dense core granule","11/424","57/16381",0.192982456140351,7.45576795762992,7.95859310366128,1.93982930891798e-07,2.56704078546813e-05,2.24611814716819e-05,"Scg2/Crhbp/Sst/Adcyap1/Syt4/Slc18a2/Bdnf/Penk/Cacna2d1/Syt5/Calca",11,"CGRP vs nonCGRP","CGRP","nonCGRP","Dense Core Granule","Dense Core
Granule"
"GO:0140534","CC","GO:0140534","endoplasmic reticulum protein-containing complex","15/424","118/16381",0.127118644067797,4.91115685960985,6.95040579152255,3.88865008918287e-07,3.85948521351399e-05,3.37698560376407e-05,"Hsp90b1/Sec61g/P4ha2/Pdia6/Dnajb11/Hspa5/Pdia3/Ostc/Pigk/Insig1/Sec11a/Spcs2/Arl6ip1/Tusc3/Stt3a",15,"CGRP vs nonCGRP","CGRP","nonCGRP","Endoplasmic Reticulum Protein-Containing Complex","Endoplasmic
Reticulum
Protein-Containing
Complex"
"GO:0044306","CC","GO:0044306","neuron projection terminus","18/424","214/16381",0.0841121495327103,3.24962528654558,5.39966239331044,1.20453585008516e-05,0.000956401464967621,0.000836835432690746,"Nts/Rpl26/Pcsk1/Crhbp/Sncg/Adcyap1/Syt4/Adra2a/Slc18a2/Dbh/Bdnf/Flrt3/Penk/Calca/Scrg1/Tpbg/Slc9a6/Prph",18,"CGRP vs nonCGRP","CGRP","nonCGRP","Neuron Projection Terminus","Neuron
Projection
Terminus"
"GO:0005790","CC","GO:0005790","smooth endoplasmic reticulum","7/424","34/16381",0.205882352941176,7.95414816870144,6.61650464080874,2.17633194202066e-05,0.001440006301637,0.00125998165064354,"Hsp90b1/Canx/Pdia6/Hspa5/Pdia3/Erp29/Prdx4",7,"CGRP vs nonCGRP","CGRP","nonCGRP","Smooth Endoplasmic Reticulum","Smooth
Endoplasmic
Reticulum"
"GO:0034774","CC","GO:0034774","secretory granule lumen","5/424","16/16381",0.3125,12.0732606132075,7.22340162118777,3.91503711270474e-05,0.00216258644761753,0.001892227304027,"Pcsk1/Adcyap1/Dbh/Serpini1/Penk",5,"CGRP vs nonCGRP","CGRP","nonCGRP","Secretory Granule Lumen","Secretory
Granule
Lumen"
