"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Celltype","Comparison","Description_title_case","GOPathways"
"1","BP","GO:0001503","ossification","83/2342","387/15618",0.214470284237726,1.43022924817455,3.5995634529475,0.000370212727667079,0.00977293043128558,0.00819808301422616,"Fhl2/Col5a2/Igfbp5/Tnfrsf11a/Gli2/Myoc/Ifi204/Gja1/Col13a1/Srgn/Igfbp3/Phospho1/Sost/Ddx5/Mir338/Osr1/Rsad2/Id2/Hif1a/Gli3/Foxc1/Id4/Aspn/Msx2/Ptch1/Gdf10/Bmp4/Mmp14/Ptk2b/Bmp1/Klf10/Scx/Nfe2/Snai2/Trp63/Runx1/Cbs/Vegfa/Csf1r/Nfatc1/Lrp5/Tnfaip6/Galnt3/Mdk/Rassf2/Id1/Wwtr1/Sort1/Fgr/Hspg2/Alpl/Epha2/Icmt/Isg15/Fgfr3/Bmp2k/Dmp1/Ptpn11/P2rx7/Smo/Alox5/Ercc2/P2ry2/Inppl1/Fgfr2/Ifitm1/Igf2/Slc20a2/Nfix/Yap1/Cd276/Smad3/Bmp5/Plxnb1/Gpm6b/Sp7/Lox/Clec5a/Cebpa/Foxc2/Smad6/Adamts7/Ccr1",83,"negative vs positive","negative","positive","Ossification","Ossification"
"2","BP","GO:0001562","response to protozoan","18/2342","33/15618",0.545454545454545,3.63745050850089,6.37010387343011,1.4826959532795e-07,2.72720397599991e-05,2.28773188852361e-05,"Slc11a1/Arg1/Tgtp1/Tgtp2/Irgm2/Igtp/Irf4/Iigp1/Gbp7/Gbp2/Gbp9/Gbp4/Nkg7/Cd37/Tspan32/Irf8/Il12a/Pf4",18,"negative vs positive","negative","positive","Response To Protozoan","Response
To
Protozoan"
"3","BP","GO:0001570","vasculogenesis","26/2342","85/15618",0.305882352941176,2.03982518712011,4.03739046743102,0.000199100860759736,0.0064139723618758,0.00538040030503861,"Sox17/Hey2/Sgpl1/Zfp36l1/Ntrk2/Zmiz1/Zfpm2/Emp2/Egfl8/Eng/Itgav/Tek/Epha2/Cav1/Smo/Wnt7a/Foxm1/Tead2/Adm/Fgfr2/Yap1/Epor/Myo1e/Amot/Tie1/Rras",26,"negative vs positive","negative","positive","Vasculogenesis","Vasculogenesis"
"4","BP","GO:0001818","negative regulation of cytokine production","68/2342","251/15618",0.270916334661355,1.80664872533776,5.4110979519815,4.471102921001e-07,5.92889043152272e-05,4.97348633366672e-05,"Slc11a1/Inpp5d/Fcgr2b/Cd84/Tnfaip3/Arg1/Vsir/Srgn/Appl2/Irak3/Havcr2/Irgm2/Igtp/Rara/Foxj1/Btn2a2/Fgfr4/Extl3/Ppara/Nckap1l/Apod/Ezr/Ager/Aqp4/Anxa1/Mertk/Sirpa/Lbp/Slc2a10/Tlr2/Otud7b/Bank1/Gbp7/Tlr4/Epha2/Tnfrsf4/Hgf/Tlr6/Gbp4/Cmklr1/Ptpn11/Ptpn6/Lag3/Tnfrsf1a/C5ar2/Pglyrp1/Zfp36/Chrna7/Tsku/Lrrc32/Trim30a/Klf2/Nlrx1/Cd276/Tlr8/Il23a/Nlrp3/Epx/Prg2/Il12a/Oas1c/Oas1b/Oas1a/Gimap3/Sigirr/Acp5/Gpr174/Btk",68,"negative vs positive","negative","positive","Negative Regulation Of Cytokine Production","Negative
Regulation
Of
Cytokine
Production"
"5","BP","GO:0001819","positive regulation of cytokine production","118/2342","410/15618",0.28780487804878,1.91927266668055,7.92243805641625,3.55140156068202e-13,2.02500916990089e-09,1.6986914412357e-09,"Arid5a/Casp8/Fzd5/Slc11a1/Ncl/Ikbke/Rab7b/Fcgr2b/Ly9/Cd84/Ifi203/Traf3ip3/Nodal/Hk1/Icosl/Lum/Irak3/Havcr2/Flt4/Adora2b/Ccl4/Rara/Rsad2/Hif1a/Agtr1a/Irf4/Syk/Pik3r1/Lacc1/Tnfrsf13c/Nfam1/Zbtb20/Runx1/Mapk13/Gpsm3/Ager/Ltb/Trim15/Cyp1b1/Tslp/Csf1r/Mbp/Unc93b1/Anxa1/Afap1l2/Prkcq/Traf2/Fcna/Agpat2/Pla2r1/Ifih1/Mdk/Usp50/Il1a/Lbp/Tlr2/Il6ra/S100a13/Fcgr1/Chil5/Gbp5/Tlr4/Trim32/Tek/Ptafr/Fgr/Tnfrsf8/Isg15/Hgf/Ucn/Spon2/Tlr1/Tlr6/Ptpn11/P2rx7/Hspb1/Irf5/Il17rc/Tnfrsf1a/Clec7a/C5ar1/Sphk2/P2ry2/Gprc5b/Tlr3/Il12rb1/Irf8/Casp1/Cd276/Smad3/Rora/Ccr5/Tlr8/Tlr7/Il1rl2/Il23a/Nlrp3/Nlrp1b/Epx/Naip5/Gsdmd/Ticam1/Nlrc4/Prg2/Postn/Il12a/Cd2/Oas1c/Oas1b/Oas1a/Clec5a/Gimap3/Crhr2/Irf7/Il15/Tlr9/Ccr2/Btk",118,"negative vs positive","negative","positive","Positive Regulation Of Cytokine Production","Positive
Regulation
Of
Cytokine
Production"
"6","BP","GO:0001894","tissue homeostasis","62/2342","249/15618",0.248995983935743,1.66046937536654,4.41253519045996,2.61147717994773e-05,0.00123063164298033,0.00103232294960265,"Col9a1/Col3a1/Inpp5d/Tnfrsf11a/Adora1/Crb1/Cdh23/Tns3/Egfr/Atp1b2/Ush1g/Esrrb/Bdkrb2/Foxc1/Mak/Syk/Ocln/Vstm4/Ptk2b/Scx/Rac2/Ildr1/Vegfa/Csf1r/Mbp/Ldb1/Crb2/Neurod1/Itgav/Ada/Wwtr1/Gnat2/Rpe65/Tlr4/Trim32/Nfib/Mfsd2a/Alpl/Slc4a2/Cytl1/Prom1/Hnf1a/Ptpn11/P2rx7/Pdk4/Smo/Lsr/Lrrk1/Ascl3/Tex15/Nfix/Cdh3/Yap1/Cbl/Il10ra/Trf/Ndp/Abca4/Rho/Acp5/Tlr9/Ccr2",62,"negative vs positive","negative","positive","Tissue Homeostasis","Tissue
Homeostasis"
"7","BP","GO:0001906","cell killing","40/2342","153/15618",0.261437908496732,1.74344033087189,3.88128469139598,0.000225883206390626,0.0070381750974828,0.00590401662259998,"Fcgr2b/Arg1/Havcr2/Irgm2/Igtp/Unc13d/Syk/Pik3r1/Gzma/Lgals3/Nckap1l/Emp2/Tap1/Ager/Vav1/Spi1/Fcgr1/Gbp5/Gbp7/Gbp2/Fgl2/Cxcl10/P2rx7/Ncf1/Ptpn6/Lag3/Clec7a/Pglyrp1/Nkg7/Scnn1b/Itgam/Igf2/Fcer2a/Ccr5/Il23a/Il7r/H2-Q6/Il12a/Cd2/Gimap3",40,"negative vs positive","negative","positive","Cell Killing","Cell
Killing"
"8","BP","GO:0001945","lymph vessel development","14/2342","28/15618",0.5,3.33432963279248,5.19250316448555,1.3973265584458e-05,0.000751656229835658,0.000630531467882595,"Ptpn14/Prox1/Flt4/Foxc1/Syk/Acvrl1/Tmem204/Vegfa/Nfatc1/Svep1/Epha2/Pdpn/Tie1/Foxc2",14,"negative vs positive","negative","positive","Lymph Vessel Development","Lymph
Vessel
Development"
"9","BP","GO:0001946","lymphangiogenesis","11/2342","19/15618",0.578947368421053,3.86080273270709,5.24052699005895,1.97641010250711e-05,0.00102178880971317,0.000857133849865544,"Ptpn14/Prox1/Flt4/Foxc1/Acvrl1/Vegfa/Nfatc1/Epha2/Pdpn/Tie1/Foxc2",11,"negative vs positive","negative","positive","Lymphangiogenesis","Lymphangiogenesis"
"10","BP","GO:0002064","epithelial cell development","53/2342","215/15618",0.246511627906977,1.64390205151629,3.99296046034903,0.000128479849581813,0.00460749749883959,0.00386502771598647,"Fzd5/Tfcp2l1/F11r/Prox1/Prdm1/Gja1/Gdf11/Rara/Foxj1/Hif1a/Bcl11b/Hrh2/Bmp4/Klf5/Cldn1/Trp63/Ezr/Vegfa/Six3/Epas1/Vim/Il1a/Nkx2-2/Id1/Hapln2/Adamtsl4/Notch2/Epha2/Fgfr3/Clock/Smo/Slc4a5/Tnfrsf1a/Gpr4/Fgfr2/Fat1/Cdh5/Yap1/S1pr2/Icam1/St14/Exph5/Myo1e/Bmp5/Lamb2/Tnmd/Spdef/Notch4/Sfn/Bhlha15/Cebpa/Foxc2/Tlr9",53,"negative vs positive","negative","positive","Epithelial Cell Development","Epithelial
Cell
Development"
