	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Sox17|Sox17	117	0	36	0	86	0	195	0	0	0	2	2	0	2	0	0
Mrpl15|Mrpl15	1587	1075	1145	3195	2127	2332	2126	5317	142	171	246	494	410	278	1984	1453
Xkr4|Xkr4	1784	3366	1795	3204	1924	7356	1615	2158	754	1113	2164	3822	2674	1665	1009	1503
Gm39585|Gm39585	5583	3701	5556	6596	4098	1719	2576	9128	1012	1094	2801	2597	3036	2367	975	1228
Lypla1|Lypla1	648	408	655	1194	1210	4	1144	0	25	36	55	86	75	60	2278	1866
Gm39587|Gm39587	4	0	59	0	14	55	5	0	0	0	0	0	2	0	1	0
Tcea1|Tcea1	1628	1182	1344	2819	2207	2913	2154	2167	22	27	22	57	73	53	1832	1486
Rgs20|Rgs20	479	0	164	411	643	1645	403	0	49	46	17	53	83	58	763	743
Gm16041|Gm16041	0	0	61	0	80	0	41	0	63	52	10	17	52	52	0	76
Npbwr1|Npbwr1	127	670	257	0	164	0	117	0	10	10	0	1	2	1	667	801
LOC108167788|LOC108167788	3	0	2	0	21	0	0	0	4	2	0	0	0	0	4	17
Oprk1|Oprk1	1089	1121	864	1680	909	7914	1248	5074	60	62	3	8	56	34	7034	8826
Atp6v1h|Atp6v1h	6275	8883	3396	8352	6655	10452	6778	23792	239	249	268	483	573	465	14238	12666
Rb1cc1|Rb1cc1	6841	5116	6057	17888	12458	9129	9661	16272	565	707	556	999	1261	853	2473	2457
4732440D04Rik|4732440D04Rik	2000	3495	1546	3198	3154	2174	3661	4376	160	206	214	335	346	242	1212	1509
Gm26901|Gm26901	88	422	24	0	70	0	78	339	76	71	96	91	699	453	72	64
St18|St18	5078	61	3970	1559	10082	0	8837	43	7	14	0	11	86	94	58	293
Pcmtd1|Pcmtd1	4201	3842	3719	8321	5804	5794	5639	5135	347	340	296	556	551	446	2571	2567
Rrs1|Rrs1	441	0	489	538	458	0	665	3197	7	5	12	25	12	18	134	77
Adhfe1|Adhfe1	516	6	100	0	599	0	422	437	17	14	35	65	17	31	175	146
2610203C22Rik|2610203C22Rik	13	0	103	0	52	0	30	0	26	36	19	20	9	6	14	0
3110035E14Rik|3110035E14Rik	227	40	544	31	436	0	315	66	868	878	107	264	319	218	344	136
Sntg1|Sntg1	757	1700	487	2777	685	3628	851	1028	521	530	824	1294	2429	1586	1793	1871
Mybl1|Mybl1	241	626	223	750	529	2466	182	0	17	17	54	76	104	52	108	230
Vcpip1|Vcpip1	3843	3141	3467	5420	5370	2333	5774	12753	456	478	518	985	759	600	4358	3423
1700034P13Rik|1700034P13Rik	9	13	22	24	54	21	55	40	1	0	2	4	3	0	7	2
Cpa6|Cpa6	183	0	44	892	57	0	0	0	8	7	0	0	4	0	0	0
Mcmdc2|Mcmdc2	431	70	259	2665	567	190	448	2599	104	88	81	111	40	107	215	260
Tcf24|Tcf24	0	0	0	0	0	0	0	0	2	9	6	8	0	4	0	39
Ppp1r42|Ppp1r42	91	0	20	0	44	0	64	0	11	12	6	9	18	10	0	8
Cspp1|Cspp1	3459	2879	3802	7625	4725	3559	3951	2962	562	685	574	690	894	727	1421	1534
Sgk3|Sgk3	780	422	752	268	951	1121	1030	0	137	139	50	72	66	54	112	93
Snhg6|Snhg6	501	1008	380	1565	246	193	221	615	10	12	12	30	38	27	195	150
Snord87|Snord87	41	33	29	32	16	0	14	84	2	1	2	1	2	2	3	2
Cops5|Cops5	1520	2532	999	3444	1640	544	1355	3887	152	185	159	342	475	303	3489	3381
Arfgef1|Arfgef1	2312	1994	1856	1861	3068	1756	2246	6085	591	680	663	1328	1341	940	2068	2245
Prex2|Prex2	761	336	1018	486	1335	45	1036	2243	54	87	25	84	127	90	8	106
Gm30898|Gm30898	0	286	65	485	55	0	44	0	49	71	72	77	66	107	34	12
Sulf1|Sulf1	1060	176	773	2177	1355	0	1872	0	88	124	0	9	22	15	1245	1691
Slco5a1|Slco5a1	241	0	109	179	261	0	280	0	58	51	93	119	167	142	249	113
A830018L16Rik|A830018L16Rik	1103	1495	1120	2909	643	2648	717	4942	398	494	418	725	726	678	580	464
Ncoa2|Ncoa2	530	177	1595	2196	2424	0	2864	127	952	998	1003	1945	1848	1221	2717	1951
Lactb2|Lactb2	429	1104	526	148	794	0	762	0	88	127	198	318	240	127	2222	2024
Eya1|Eya1	270	120	110	0	204	0	154	0	19	25	124	201	49	33	183	256
Tram1|Tram1	7120	4046	5409	8458	10056	20678	11538	43145	85	81	157	272	349	270	3293	1933
Terf1|Terf1	1978	709	1668	4139	2766	2817	2153	4034	100	82	94	113	187	141	1151	1219
Sbspon|Sbspon	187	293	139	796	238	0	85	0	43	62	26	26	92	62	76	34
Kcnb2|Kcnb2	1732	3578	1196	1700	2009	1613	2641	6597	586	597	123	330	2086	1406	1309	1498
Rdh10|Rdh10	660	320	512	132	1151	0	1529	0	43	28	39	70	62	60	162	229
Rpl7|Rpl7	2109	1350	972	4619	1946	2543	1723	4397	18	18	25	41	60	44	2222	1883
Stau2|Stau2	2490	1208	2108	4149	2356	1454	1581	7959	440	542	593	1099	1336	999	3484	3219
LOC102634042|LOC102634042	11	0	18	0	22	0	23	0	5	9	19	21	24	26	3	26
Ube2w|Ube2w	3465	825	2148	2447	3792	2107	2389	4823	350	422	420	535	897	648	3185	3039
LOC108167614|LOC108167614	348	24	560	351	920	1976	592	0	310	372	446	495	579	406	142	101
Tceb1|Tceb1	1616	1722	1486	4233	3049	0	2107	6172	112	104	88	185	327	230	3091	3708
Ly96|Ly96	104	39	103	0	115	0	102	357	0	4	23	27	19	11	141	143
Tmem70|Tmem70	2528	2712	1367	2938	2342	1805	2466	7162	42	33	48	123	148	99	1581	614
LOC108167615|LOC108167615	0	0	48	0	51	0	157	0	14	13	2	5	20	17	0	0
Gm28783|Gm28783	0	0	0	0	19	0	65	0	15	17	2	0	16	12	0	0
Jph1|Jph1	1438	0	962	0	3016	0	2790	0	281	304	55	110	250	133	328	394
Gm28154|Gm28154	2	0	0	82	0	0	20	0	6	6	22	25	41	45	11	63
Pi15|Pi15	77	347	23	0	17	0	35	0	6	0	16	14	23	19	39	50
Gdap1|Gdap1	5433	6599	4610	9337	5783	4969	4853	5837	352	453	371	733	1122	829	6448	5566
Gm28784|Gm28784	0	0	3	60	74	0	0	0	12	19	19	40	62	58	8	4
Tfap2d|Tfap2d	386	0	350	0	83	292	0	0	7	11	0	0	0	0	8	0
Tfap2b|Tfap2b	1150	1113	603	6012	812	4404	726	5391	0	0	2	3	0	0	37	0
Crispld1|Crispld1	252	0	166	0	293	2413	243	588	38	38	28	34	27	36	133	55
Gm16070|Gm16070	25	0	15	0	11	33	30	0	5	0	14	0	11	15	22	30
Gm28153|Gm28153	76	99	66	0	29	0	16	0	3	4	8	10	16	10	18	20
Mcm3|Mcm3	22	0	114	0	47	0	44	0	0	4	0	6	0	0	34	0
Tram2|Tram2	0	0	0	0	21	0	37	0	3	0	16	28	11	12	11	0
6720483E21Rik|6720483E21Rik	81	203	114	940	109	0	172	0	0	6	7	16	16	13	194	215
Paqr8|Paqr8	5456	1864	5269	1100	11784	1620	13345	3361	200	179	199	513	572	359	2314	2017
Gm28836|Gm28836	17	0	36	0	18	0	37	0	3	4	0	5	5	4	12	10
Gsta3|Gsta3	74	426	84	75	153	0	46	0	39	45	38	64	84	65	328	225
